No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
77,180,0,PinkNoise,3D_Based,2,181.15,-339.95,8.763367,1
78,0,30,Footstep,DL_Based,2,359,-340.4,7.295166,1
79,150,30,PinkNoise,3D_Based,2,152.6,-356.8,13.95313,0
80,30,30,Footstep,3D_Based,1,335,-341.25,6.469238,1
81,60,0,PinkNoise,DL_Based,2,307.15,-352.85,9.67041,1
82,150,30,Footstep,3D_Based,4,161.4,-352.4,14.13879,0
83,30,30,Footstep,Generic,1,45.29998,-4.449993,11.77795,0
84,90,0,Footstep,3D_Based,2,92.65,-339.3,4.935242,0
85,150,30,Footstep,DL_Based,1,27.30001,-90,5.602295,1
86,90,30,Footstep,3D_Based,1,266.9501,-329.2,7.963074,1
87,180,0,PinkNoise,Generic,4,352.25,-337.25,4.361694,1
88,90,0,Footstep,Generic,2,85.14999,-334,6.268127,0
89,180,30,Footstep,3D_Based,3,10.90001,-340.05,12.29907,0
90,150,0,Footstep,3D_Based,3,203.4,-325.3,7.109436,1
91,180,0,Footstep,DL_Based,3,3.899997,-344.05,18.26099,1
92,120,30,Footstep,Generic,4,240.75,-337.3,6.869324,1
93,180,0,PinkNoise,DL_Based,3,183,-355.25,15.80609,1
94,0,30,PinkNoise,Generic,3,1.900001,-354.8,4.815308,1
95,90,0,Footstep,Generic,3,282.15,-341.8,4.374878,1
96,0,30,PinkNoise,DL_Based,2,355.4,-339.85,8.082275,1
97,180,0,PinkNoise,Generic,3,184.55,-339.3,12.43237,1
98,180,0,PinkNoise,DL_Based,2,339.9,-340.9,12.4707,1
99,150,0,Footstep,DL_Based,2,158.5,-336.35,11.49878,0
100,0,30,PinkNoise,Generic,2,5.599999,-324.8,5.708862,0
101,150,30,PinkNoise,DL_Based,2,197.25,-325.2,8.589966,1
102,90,30,Footstep,DL_Based,1,264.25,-325.7,6.402466,1
103,30,0,Footstep,DL_Based,4,333.45,-7.550019,9.483643,1
104,60,30,Footstep,3D_Based,3,312.8,-8.55001,11.55127,1
105,150,30,Footstep,Generic,2,204.9,-340.25,7.616333,1
106,120,30,Footstep,Generic,1,138.2,-339.05,6.175293,0
107,30,30,PinkNoise,DL_Based,3,26.55005,-330.65,8.176147,0
108,60,30,PinkNoise,DL_Based,3,311.7,-327,11.93848,1
109,90,0,PinkNoise,DL_Based,1,268.9,-339.75,9.163818,1
110,30,30,PinkNoise,3D_Based,2,325.45,-338.6,17.81934,1
111,0,0,PinkNoise,3D_Based,1,358.05,-340.65,7.763916,1
112,60,0,PinkNoise,Generic,4,320.05,-332.0501,17.80688,1
113,180,0,Footstep,DL_Based,4,189.4,-340.2,12.31152,1
114,120,30,Footstep,Generic,2,131.35,-324.4001,20.74133,0
115,0,30,Footstep,DL_Based,3,4,-323.95,7.509644,0
116,90,30,Footstep,DL_Based,4,271.25,-324.25,6.149048,1
117,0,0,Footstep,DL_Based,1,1.350003,-351.15,12.23145,1
118,180,0,PinkNoise,Generic,2,187.7,-340.65,14.29895,1
119,150,0,PinkNoise,Generic,4,159.15,-323.5,11.37769,0
120,30,0,Footstep,DL_Based,2,331.85,-326.2,18.51294,1
121,0,30,Footstep,DL_Based,4,356.85,-325.55,12.23242,1
122,30,0,Footstep,3D_Based,2,32.6,-317.15,12.17712,0
123,60,0,Footstep,Generic,2,302.6,-324.05,11.33862,1
124,150,0,PinkNoise,Generic,1,219.15,-355.2,9.737061,1
125,30,30,PinkNoise,Generic,3,337.5,-342.9,7.975952,1
126,120,0,Footstep,3D_Based,3,238.95,-324.5001,16.95386,1
127,150,0,PinkNoise,3D_Based,2,208.75,-6.500015,11.96448,1
128,150,0,Footstep,3D_Based,4,22.44993,-319.75,15.80627,1
129,120,30,Footstep,3D_Based,4,117.95,-312.15,6.828369,0
130,0,0,Footstep,3D_Based,4,358.3,-337.15,6.909302,0
131,90,30,Footstep,DL_Based,3,278.7,-329.2,28.19873,1
132,30,30,PinkNoise,Generic,1,341.4,-327.3,12.17798,1
133,120,30,Footstep,Generic,3,253.2501,-338.35,13.52527,1
134,120,30,PinkNoise,Generic,4,246.6499,-343.35,8.376587,1
135,30,30,PinkNoise,3D_Based,4,27.30001,-335.4,16.27197,0
136,180,0,Footstep,3D_Based,3,356.4,-331.75,8.270874,0
137,60,0,Footstep,DL_Based,3,305.9,-356.55,11.56458,1
138,60,30,PinkNoise,Generic,1,68.24995,-331.4,12.73828,0
139,120,0,PinkNoise,3D_Based,3,240.65,-340.25,11.88354,1
140,90,0,Footstep,3D_Based,4,87.99998,-325.1,5.603149,0
141,120,30,PinkNoise,DL_Based,3,240.9,-325.6,14.89832,1
142,120,30,PinkNoise,3D_Based,2,243.15,-338.75,13.49951,1
143,30,0,Footstep,3D_Based,1,318.15,-326.2,5.548828,1
144,120,0,Footstep,DL_Based,2,245.3,-339.75,6.815918,1
145,60,0,Footstep,Generic,4,61.94999,-349.95,16.08606,0
146,150,0,Footstep,DL_Based,3,147.9,-350.05,11.48462,0
147,90,30,PinkNoise,Generic,3,96.40003,-327.85,9.270264,0
148,30,0,PinkNoise,Generic,2,330.4,-348.4,8.630127,1
149,60,0,Footstep,3D_Based,3,297.95,-341,12.92493,1
150,0,0,PinkNoise,3D_Based,4,2.65001,-339.45,13.04517,1
151,30,30,Footstep,Generic,2,341.85,-339.9,6.189087,1
152,180,30,Footstep,Generic,3,182.05,-328.25,16.19287,1
153,150,30,Footstep,3D_Based,1,207.2,-331.55,7.576416,1
154,90,0,PinkNoise,3D_Based,2,90.60007,-336.9,11.7511,0
155,0,30,PinkNoise,3D_Based,2,351.75,-339.6,9.937256,0
156,120,0,Footstep,Generic,1,123.9,-337.8,6.282471,0
157,30,0,PinkNoise,DL_Based,1,25.95004,-331.65,15.80615,0
158,150,30,PinkNoise,DL_Based,1,211.6,-334.75,15.31262,1
159,120,0,Footstep,DL_Based,4,115.05,-331.6,6.255615,0
160,90,0,PinkNoise,DL_Based,3,90.70004,-349.6,9.110352,0
161,30,0,Footstep,DL_Based,1,324.3,-3.949995,8.229858,1
162,120,0,PinkNoise,DL_Based,4,246.25,-352.4,14.93921,1
163,0,0,Footstep,Generic,3,2.900002,-353.3,16.16589,1
164,120,30,PinkNoise,Generic,3,132.3,-325,9.684082,0
165,0,30,PinkNoise,DL_Based,1,2.349999,-358.35,7.749756,0
166,60,30,Footstep,Generic,4,310.65,-326.9,5.521118,1
167,90,0,PinkNoise,3D_Based,1,93.50003,-339.2,11.09863,0
168,120,30,Footstep,DL_Based,2,247.65,-338.1,6.2948,1
169,180,0,Footstep,3D_Based,1,12.05,-90,9.776123,1
170,0,0,PinkNoise,DL_Based,2,358.75,-355.55,8.577026,1
171,30,30,Footstep,3D_Based,4,318.55,-339.3,5.535156,1
172,30,30,Footstep,DL_Based,4,31.94999,-8.600008,6.296753,0
173,180,30,Footstep,Generic,2,179.6,-325.6,7.603027,0
174,180,30,PinkNoise,DL_Based,2,180.45,-350.9,8.563354,0
175,60,30,Footstep,3D_Based,1,60.54997,-6.150012,6.348755,0
176,120,30,Footstep,DL_Based,3,123.9,-346.15,6.909668,0
177,90,30,Footstep,Generic,2,102.45,-324.85,12.47156,0
178,180,30,PinkNoise,Generic,3,182.85,-325.95,9.896851,0
179,90,30,PinkNoise,3D_Based,4,93.8,-357.8,6.856323,0
180,120,0,PinkNoise,3D_Based,2,236.35,-332.2,17.44678,1
181,120,30,Footstep,3D_Based,1,244,-328.25,6.202515,1
182,60,30,Footstep,3D_Based,2,50.29996,-328.15,19.31396,0
183,60,30,Footstep,3D_Based,4,45.84996,-337.4,11.55127,0
184,60,30,Footstep,DL_Based,1,59.19996,-324.65,6.829346,0
185,120,0,PinkNoise,Generic,2,239,-339.75,17.75342,1
186,120,0,PinkNoise,3D_Based,4,240.45,-332.3,11.41797,1
187,30,30,PinkNoise,3D_Based,1,327.15,-338.15,15.59253,1
188,90,30,PinkNoise,3D_Based,3,275.1,-335.85,13.8855,1
