1,0,0,,,,,,,,
2,0,30,,,,,,,,
3,30,0,,,,,,,,
4,30,30,,,,,,,,
5,60,0,,,,,,,,
6,60,30,,,,,,,,
7,90,0,,,,,,,,
8,90,30,,,,,,,,
9,120,0,,,,,,,,
10,120,30,,,,,,,,
11,150,0,,,,,,,,
12,150,30,,,,,,,,
13,180,0,,,,,,,,
14,180,30,,,,,,,,
,,,,,,,,,,
