No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
78,150,30,PinkNoise,3D_Based,2,137.2002,37.0498,4.094421
79,120,30,PinkNoise,DL_Based,5,168.1502,-0.1001965,6.761719
80,120,0,PinkNoise,Generic,1,-129.5998,29.59979,4.713623
81,30,0,Footstep,DL_Based,5,-34.34979,1.499786,8.121643
82,0,0,Footstep,DL_Based,2,5.050201,1.849792,5.534668
83,120,0,PinkNoise,3D_Based,1,115.9002,32.24979,4.199524
84,180,0,PinkNoise,Generic,1,178.7002,-0.7502078,4.189392
85,120,0,Footstep,Generic,3,-120.7498,27.59979,7.461121
86,180,30,Footstep,Generic,3,177.9502,-0.9002051,4.307312
87,120,0,PinkNoise,Generic,4,-119.5998,28.49979,4.305786
88,120,30,Footstep,3D_Based,5,122.1002,-2.250203,4.53363
89,60,30,Footstep,Generic,1,64.60019,-1.500203,3.796631
90,90,30,PinkNoise,DL_Based,4,122.0502,-0.3002013,3.35144
91,180,0,Footstep,DL_Based,1,178.2502,0.5498047,3.536682
92,30,30,PinkNoise,DL_Based,2,14.95021,-1.100201,6.187744
93,60,0,PinkNoise,DL_Based,5,-47.2998,-0.3502009,2.574463
94,0,30,PinkNoise,DL_Based,4,7.400221,-1.5502,4.603821
95,180,0,Footstep,Generic,5,-178.8998,1.299805,6.631592
96,180,30,PinkNoise,3D_Based,3,177.8502,27.64981,4.690857
97,0,30,PinkNoise,DL_Based,5,22.80025,-2.350207,8.363403
98,120,0,PinkNoise,Generic,2,119.7002,29.4498,10.87634
99,150,30,PinkNoise,DL_Based,4,-134.4997,-1.950208,4.116943
100,30,30,Footstep,DL_Based,1,44.40023,-1.300207,7.722046
101,60,0,Footstep,3D_Based,5,-60.79977,0.6997986,4.500061
102,150,0,PinkNoise,Generic,4,-137.3998,-0.4002066,1.848511
103,120,0,PinkNoise,DL_Based,3,-84.39978,-2.200207,2.231689
104,30,30,Footstep,DL_Based,5,-4.849792,-0.6002043,4.2453
105,90,0,PinkNoise,DL_Based,2,130.9502,-1.650205,3.598206
106,90,30,PinkNoise,3D_Based,1,75.95023,29.94977,4.13092
107,180,0,Footstep,Generic,1,175.3002,-1.250218,5.005005
108,30,30,PinkNoise,DL_Based,1,43.45023,1.799774,5.69104
109,120,30,PinkNoise,Generic,5,130.2502,32.99979,3.762756
110,120,0,PinkNoise,3D_Based,5,-132.8998,-0.4002208,5.054199
111,150,30,Footstep,3D_Based,1,135.5502,30.84976,6.870422
112,90,30,PinkNoise,Generic,4,-89.89978,-1.500224,5.387573
113,60,0,Footstep,DL_Based,1,-39.24979,-0.8002236,2.894592
114,30,30,PinkNoise,DL_Based,4,56.90017,-1.000224,5.260559
115,0,30,PinkNoise,3D_Based,4,-10.04984,-0.7002243,2.442383
116,0,30,Footstep,Generic,3,8.150167,-0.5002241,2.583923
117,180,0,Footstep,DL_Based,4,-166.4998,-0.600228,5.999634
118,180,0,Footstep,DL_Based,5,-169.9498,-1.900229,4.122314
119,180,30,Footstep,Generic,1,-178.4499,-2.700229,3.508789
120,30,30,Footstep,3D_Based,2,18.25016,31.19977,7.714661
121,150,30,Footstep,Generic,2,-146.6499,30.84976,6.623108
122,30,0,Footstep,Generic,4,-32.34991,28.49976,5.13623
123,0,0,Footstep,Generic,4,1.20008,28.69974,4.108887
124,150,30,Footstep,3D_Based,5,139.0001,31.94974,5.187317
125,30,30,PinkNoise,3D_Based,1,-44.14993,34.44977,4.74054
126,180,30,Footstep,DL_Based,4,-179.6999,-2.200249,6.330139
127,30,0,Footstep,3D_Based,1,-36.49997,33.64975,5.687317
128,90,30,PinkNoise,Generic,5,94.10007,33.54974,3.929749
129,30,30,Footstep,DL_Based,4,-39.19995,-2.150265,5.990906
130,180,0,PinkNoise,3D_Based,3,178.2001,-1.150264,3.332886
131,30,30,Footstep,Generic,3,-41.09991,26.39972,6.219421
132,0,30,PinkNoise,3D_Based,2,-13.89993,36.34973,6.616577
133,0,0,PinkNoise,3D_Based,1,-6.599915,33.74973,3.105591
134,180,0,Footstep,Generic,2,178.2501,-1.450275,3.387817
135,150,0,PinkNoise,DL_Based,1,-176.3499,-0.4502749,4.175232
136,120,0,Footstep,Generic,4,120.4001,30.79971,6.616272
137,120,30,Footstep,Generic,5,124.1501,30.3497,4.213867
138,120,30,Footstep,DL_Based,3,-90.19998,-0.6502962,6.293762
139,0,30,Footstep,3D_Based,4,-2.999939,27.39972,4.965149
140,150,0,PinkNoise,Generic,3,-140.95,-0.5503026,4.333008
141,60,30,PinkNoise,3D_Based,3,44.45007,30.94971,3.987793
142,120,0,Footstep,3D_Based,3,120.2001,32.24969,4.949036
143,120,30,Footstep,DL_Based,2,122.3501,-1.250304,4.054626
144,30,0,PinkNoise,Generic,1,30.80013,34.64969,6.362793
145,30,0,Footstep,3D_Based,4,21.45015,-2.000309,3.963074
146,0,30,Footstep,Generic,1,1.150146,29.79968,4.7901
147,150,0,Footstep,DL_Based,2,174.1002,-1.400311,6.652344
148,150,0,Footstep,DL_Based,5,173.9002,-1.250311,2.094299
149,0,0,PinkNoise,Generic,1,0.0001756509,20.24969,4.828857
150,0,0,PinkNoise,3D_Based,2,-2.149811,21.0997,3.721375
151,120,30,PinkNoise,DL_Based,3,134.2002,-2.150303,3.430725
152,30,0,Footstep,Generic,1,-39.64984,-0.9503055,7.107239
153,120,30,PinkNoise,3D_Based,5,107.1002,32.69968,5.92749
