No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
77,90,0,PinkNoise,3D_Based,3,258.7,-355.9,8.069946,1
78,180,0,PinkNoise,DL_Based,2,351.1,-357.7,14.25861,1
79,0,30,Footstep,3D_Based,2,356.6,-4.850001,6.642883,1
80,60,30,Footstep,DL_Based,1,63.74998,-359.8,5.522095,0
81,150,30,Footstep,Generic,4,199.3,-337.7,12.47101,1
82,0,30,Footstep,Generic,4,354.25,-352.85,14.73871,1
83,60,30,Footstep,DL_Based,3,55.24997,-340.05,14.6333,0
84,90,30,Footstep,3D_Based,2,92.54998,-5.600001,11.41766,0
85,180,30,Footstep,DL_Based,3,13.9,-90,3.015015,0
86,120,30,PinkNoise,3D_Based,2,104.05,-352.25,12.32495,0
87,150,30,Footstep,Generic,2,216.35,-339.25,4.708008,1
88,60,0,PinkNoise,3D_Based,4,58.5,-358.95,9.203125,0
89,30,0,Footstep,Generic,3,333.15,-359.35,11.45874,1
90,150,30,Footstep,DL_Based,2,151.2,-358.9,10.51074,0
91,90,30,Footstep,DL_Based,4,107.75,-352.55,6.881714,0
92,60,30,PinkNoise,Generic,3,61.95004,-342.55,15.3136,0
93,60,0,PinkNoise,DL_Based,1,282.8999,-344.5,8.216553,1
94,60,30,Footstep,Generic,3,313.55,-1.849998,10.80408,1
95,90,30,PinkNoise,DL_Based,2,85.34997,-359.1,4.775269,0
96,30,0,PinkNoise,Generic,3,20.9,-7.200008,9.083618,0
97,60,30,Footstep,3D_Based,4,293.15,-357.8,6.72168,1
98,60,30,Footstep,3D_Based,1,62.39999,-354.2,10.49829,0
99,0,30,PinkNoise,Generic,2,2.25,-345.4,4.60083,0
100,150,0,PinkNoise,Generic,4,32.64996,-354.7,8.163208,1
101,150,30,Footstep,3D_Based,4,31.85004,-359,14.80664,1
102,120,0,PinkNoise,Generic,4,119.15,-334.7,8.856812,0
103,0,0,PinkNoise,Generic,3,8.250003,-341,7.455322,0
104,90,0,PinkNoise,Generic,2,277.95,-344,9.071045,1
105,120,30,PinkNoise,3D_Based,1,110.7,-342.3,8.856812,0
106,180,0,PinkNoise,3D_Based,1,353.65,-356.9,10.79089,0
107,0,30,Footstep,DL_Based,3,359.2,-354.8,6.389038,0
108,90,30,Footstep,DL_Based,2,98.2,-343.25,6.308716,0
109,120,0,Footstep,3D_Based,2,115.5,-5.700001,8.296875,0
110,150,30,PinkNoise,3D_Based,1,158.2,-359.5,9.910645,0
111,0,30,PinkNoise,Generic,4,354.5,-344.75,4.962036,0
112,0,0,PinkNoise,3D_Based,4,3,-1.899999,6.4823,0
113,90,0,Footstep,Generic,1,91.50004,-358.1,5.828613,0
