No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
1,180,30,PinkNoise,Generic,4,131.2,-90,8.623444,0
2,120,30,Footstep,DL_Based,1,122.15,-332.9,7.749664,0
3,30,0,PinkNoise,3D_Based,1,325.35,-339.7,7.416168,1
4,0,30,PinkNoise,3D_Based,2,26.24997,-337.55,12.4449,1
5,0,30,Footstep,3D_Based,2,2.600019,-338.75,8.615677,1
6,120,30,PinkNoise,3D_Based,1,125,-339.55,5.8564,0
7,180,30,PinkNoise,3D_Based,3,0,0,2.974655,0
8,0,0,PinkNoise,3D_Based,1,355.8,-337.95,6.094818,0
9,60,0,Footstep,3D_Based,2,304.5,-3.499996,8.137375,1
10,90,30,Footstep,DL_Based,4,87.70003,-0.5000059,10.25731,0
11,150,0,Footstep,3D_Based,3,156.15,-1.199993,12.97842,0
12,120,30,Footstep,DL_Based,3,234.55,-1.000003,9.070206,1
13,0,30,Footstep,DL_Based,3,0.1,0,3.38797,1
14,0,30,PinkNoise,3D_Based,4,358.1,-339.05,3.454666,1
15,90,30,Footstep,Generic,2,88.44999,-340.45,5.988663,0
16,120,30,Footstep,Generic,1,235.75,-341,5.508148,1
17,150,0,Footstep,3D_Based,2,151.8,-1.949986,12.32574,0
18,180,30,PinkNoise,Generic,2,354.3,-3.149999,7.229553,0
19,90,30,Footstep,Generic,3,97.74998,-339.25,6.615875,0
20,180,0,Footstep,Generic,2,0,-0.05000001,3.453888,0
21,30,0,PinkNoise,Generic,1,340.4,-359.85,5.90976,1
22,30,30,PinkNoise,DL_Based,4,326.6,-339.7,9.710449,1
23,120,0,PinkNoise,DL_Based,3,239,-338.7,5.361053,1
24,180,0,PinkNoise,3D_Based,1,0.05,-359.95,3.255585,1
25,150,30,Footstep,Generic,1,152.35,-341.25,11.79089,0
26,60,30,PinkNoise,DL_Based,4,62.40003,-339.05,5.534882,0
27,120,30,PinkNoise,DL_Based,2,251.1,-340.3,6.016693,1
28,0,0,Footstep,DL_Based,1,2.200001,-2.450001,7.469543,1
29,0,30,Footstep,3D_Based,4,6.1,-340.6,6.001465,1
30,180,0,PinkNoise,3D_Based,2,0,0,3.909088,1
31,30,30,PinkNoise,3D_Based,2,329.25,-338.75,5.242035,1
32,30,30,Footstep,DL_Based,4,336.65,-340.7,7.416199,1
33,90,0,Footstep,DL_Based,2,94.04997,-1.950001,5.148468,0
34,120,0,PinkNoise,Generic,4,129.3,-2.649999,6.309265,0
35,0,0,PinkNoise,DL_Based,4,358.65,-359.6,3.934937,0
36,0,30,PinkNoise,3D_Based,3,10.6,-339.75,5.08197,0
37,180,0,PinkNoise,Generic,4,192,-3.5,9.350311,0
38,150,30,Footstep,Generic,2,216.7,-341.35,6.575836,1
39,30,30,PinkNoise,DL_Based,2,28.35003,-0.4999993,11.21768,0
40,150,30,PinkNoise,DL_Based,4,209.25,-340.3,14.65906,1
41,60,30,Footstep,3D_Based,3,60.64997,-1.949993,8.203217,0
42,180,30,PinkNoise,DL_Based,3,183.55,-339.75,8.176575,0
43,60,0,Footstep,Generic,4,308.25,-356.65,6.4552,1
44,150,0,Footstep,Generic,3,156.6,-1.75,6.402344,0
45,150,30,PinkNoise,3D_Based,1,155,-358.8,6.856293,0
46,0,30,Footstep,DL_Based,4,358.75,-338.7,10.59048,0
47,150,0,Footstep,3D_Based,1,218.35,-358.45,7.136047,1
48,90,30,PinkNoise,DL_Based,1,87.30005,-341.75,5.495483,0
49,60,30,Footstep,Generic,4,67.34998,-340.6,5.229492,0
50,120,0,PinkNoise,3D_Based,1,242.2,-341.9,7.549591,1
51,150,30,PinkNoise,3D_Based,2,162.05,-342.6,5.868958,0
52,150,30,Footstep,DL_Based,1,217.7,-0.1499996,8.508942,1
53,120,30,Footstep,Generic,2,247.6,-340.75,6.80365,1
54,120,0,PinkNoise,3D_Based,2,240.8,-342,6.415833,1
55,150,0,Footstep,Generic,1,210.05,-342.85,8.950195,1
56,120,0,Footstep,Generic,2,247.05,-341.65,5.735596,1
57,120,0,PinkNoise,DL_Based,4,118.55,-343.35,7.802124,0
58,60,30,Footstep,DL_Based,1,66.45,-342.1,7.403687,0
59,150,30,PinkNoise,3D_Based,3,214.55,-341.35,5.108643,1
60,30,30,PinkNoise,3D_Based,1,45.3,-339.8,3.161316,0
61,120,30,PinkNoise,Generic,2,250.05,-340.05,5.415466,1
62,60,30,PinkNoise,3D_Based,1,306.9,-339.6,5.668823,1
63,60,30,Footstep,Generic,2,64.75004,-340.3,5.122009,0
64,180,30,Footstep,DL_Based,1,181.95,-3.550002,14.72479,0
65,0,30,Footstep,3D_Based,1,2.3,-340.3,5.869873,0
66,120,0,Footstep,3D_Based,4,251.45,-342.45,4.468079,1
67,180,30,Footstep,3D_Based,4,183.8,-1.9,11.95166,1
68,90,0,Footstep,Generic,1,274.6,-356.15,4.601501,1
69,120,30,Footstep,3D_Based,2,247.4,-337.25,4.360962,1
70,0,0,PinkNoise,Generic,2,0,0,3.522217,1
