No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
76,60,0,PinkNoise,Generic,1,60.05003,-358.7,21.68811,0
77,90,30,Footstep,DL_Based,4,276.05,-338.7,8.110107,1
78,150,0,Footstep,DL_Based,3,150.4,-1.050007,5.522095,0
79,180,0,Footstep,3D_Based,3,178.95,-0.6500033,5.522217,0
80,0,0,PinkNoise,Generic,1,0.9500278,-351.9,9.296631,0
81,180,30,Footstep,Generic,2,183.05,-343,13.53894,0
82,120,0,Footstep,DL_Based,1,240.0499,-0.5500054,19.60754,1
83,60,30,PinkNoise,DL_Based,2,60.8,-336.7,8.42981,0
84,0,0,Footstep,DL_Based,4,2.099999,-359.55,7.148682,0
85,60,0,Footstep,3D_Based,4,246.45,-349.65,5.562134,1
86,90,0,Footstep,DL_Based,2,84.84995,-348.95,12.45801,0
87,30,30,Footstep,DL_Based,3,326.95,-338,9.896362,1
88,30,0,Footstep,3D_Based,4,329.65,-349.5,5.362427,1
89,0,0,Footstep,Generic,1,3.10003,-349.8,11.33777,1
90,150,30,Footstep,3D_Based,4,149.1,-328.7,9.136841,0
91,150,30,Footstep,DL_Based,1,210.35,-331.85,16.23303,1
92,180,30,Footstep,3D_Based,3,179.6,-341.9,11.20349,1
93,30,30,PinkNoise,Generic,1,35.29999,-325.7,11.08533,0
94,60,30,PinkNoise,Generic,4,54.39996,-325.6,4.293945,0
95,120,30,PinkNoise,3D_Based,4,120.05,-326.15,3.722412,0
96,30,30,PinkNoise,3D_Based,2,330.8,-325.1,7.22937,1
97,90,0,Footstep,Generic,3,93.09997,-334.75,6.776001,0
98,0,30,Footstep,3D_Based,4,357.3,-326.85,4.388428,0
99,60,30,Footstep,3D_Based,2,61.34999,-326.45,2.961182,0
100,120,0,Footstep,3D_Based,3,241.1,-332.8,4.080566,1
101,60,30,PinkNoise,Generic,3,64.44998,-326.7,4.162598,0
102,90,0,PinkNoise,DL_Based,2,280.25,-331.75,13.64526,1
103,0,0,Footstep,Generic,3,2.249991,-338.65,5.602295,1
104,120,30,Footstep,DL_Based,4,117.9,-342.3,11.0575,0
105,180,30,PinkNoise,DL_Based,4,180.7,-332.05,9.390381,0
106,30,30,Footstep,Generic,4,32.3,-333.2,13.21851,0
107,150,0,Footstep,3D_Based,3,147.65,-349.35,6.895996,0
