No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
76,30,0,PinkNoise,DL_Based,4,336.6,-359.8,9.283691,1
77,30,30,Footstep,DL_Based,3,38.00002,-336.5,10.73743,0
78,90,30,PinkNoise,3D_Based,2,87.40003,-334.6,3.121033,0
79,150,0,PinkNoise,DL_Based,1,223.7,-359.15,8.336731,1
80,120,30,PinkNoise,DL_Based,1,248.7,-332.65,5.789001,1
81,30,30,PinkNoise,DL_Based,4,32.55,-332.8,11.96362,0
82,60,0,Footstep,DL_Based,3,292.7,-359.3,12.1123,1
83,150,0,Footstep,3D_Based,3,158.2,-0.4999991,11.91132,0
84,150,0,PinkNoise,Generic,4,219.8,-334.8,4.001587,1
85,60,0,PinkNoise,Generic,1,66.75001,-333.95,7.136169,0
86,120,0,PinkNoise,Generic,2,128.45,-359.55,9.016724,0
87,90,30,PinkNoise,DL_Based,3,95.89999,-334.2,6.215698,0
88,30,30,Footstep,Generic,3,333.15,-334.75,10.00391,1
89,90,30,PinkNoise,Generic,4,99.49998,-1.103431E-05,7.883057,0
90,180,30,PinkNoise,3D_Based,3,185.65,-358.2,6.789307,0
91,60,30,Footstep,3D_Based,4,299.1,-359.95,6.202332,1
92,120,30,PinkNoise,DL_Based,3,123.1,-334.4,6.175781,0
93,180,0,PinkNoise,DL_Based,1,180,-358.25,6.295227,0
94,150,30,PinkNoise,3D_Based,1,144.4,-334.3,3.548584,0
95,90,0,PinkNoise,DL_Based,2,287.35,-0.8999934,8.856812,1
96,30,0,Footstep,Generic,2,30.75005,-0.1000215,15.09918,0
97,120,0,PinkNoise,Generic,3,116.75,-333.75,3.681458,0
98,0,0,Footstep,DL_Based,4,3.449997,-359.5,9.416931,0
99,60,0,PinkNoise,3D_Based,2,59.20004,-359.9,6.188232,0
100,120,0,PinkNoise,Generic,1,128.6,-0.05000436,5.616455,0
101,90,30,PinkNoise,3D_Based,3,93.85,-333.75,3.894836,0
102,120,0,Footstep,Generic,1,246.6,-0.4000003,7.522888,1
103,60,0,PinkNoise,3D_Based,3,70.40001,-0.1500017,3.867432,0
104,30,30,Footstep,Generic,2,335.7,-0.7999994,8.203857,1
105,150,30,PinkNoise,3D_Based,3,151.65,-335.25,4.961182,0
106,30,0,Footstep,DL_Based,1,0,0,0.2009277,0
107,120,0,Footstep,Generic,3,251.7,-359.9,8.003052,1
108,30,0,Footstep,DL_Based,4,29.75006,-358.95,15.11206,0
109,0,30,Footstep,Generic,3,14.35004,-335.25,8.229736,0
110,60,0,Footstep,Generic,4,76.90012,-359.25,15.07312,0
111,90,0,Footstep,3D_Based,4,91.44991,-358.85,41.96289,0
112,0,0,PinkNoise,Generic,1,359,-1.449992,8.13562,0
113,180,0,PinkNoise,DL_Based,4,189.75,-1.150008,14.24646,0
114,90,0,PinkNoise,3D_Based,4,268.85,-334.65,6.322388,1
115,120,30,Footstep,3D_Based,1,114.55,-1.6,8.563232,0
116,120,0,Footstep,DL_Based,1,242.85,-335.1,8.656372,1
117,150,0,PinkNoise,Generic,1,214,-333.7,4.668579,1
118,0,30,PinkNoise,3D_Based,4,356.05,-333.85,17.24658,1
119,0,30,Footstep,3D_Based,2,358.65,-359.6,8.003296,1
120,150,0,PinkNoise,Generic,3,144.95,-333.35,3.815308,0
121,180,30,Footstep,Generic,4,190.4,-0.09999924,8.563232,0
122,150,30,Footstep,Generic,3,162.5,-0.7500001,4.428345,0
123,180,0,PinkNoise,3D_Based,1,181.9,-335.7,5.442139,0
124,120,0,PinkNoise,DL_Based,3,125.35,-359.75,9.763672,0
125,120,30,Footstep,3D_Based,4,116.3499,-1.600011,8.122314,0
126,90,0,PinkNoise,DL_Based,1,91.64999,-336,3.948364,0
127,180,30,Footstep,3D_Based,1,180.85,-359.1,6.256592,0
128,0,0,Footstep,Generic,2,2.699994,-0.7499868,8.043213,0
129,60,0,Footstep,DL_Based,2,66.25002,-334.25,4.668213,0
130,180,0,PinkNoise,Generic,3,184.5,-335.6,8.697021,0
131,180,0,Footstep,DL_Based,1,186.9,-359.6,4.734985,0
132,150,30,Footstep,3D_Based,1,143.7,-358.7,3.854858,0
133,0,0,PinkNoise,3D_Based,1,355.7,-335.25,7.883179,0
134,180,0,Footstep,Generic,3,190.15,-359.65,7.256104,0
135,90,0,PinkNoise,3D_Based,3,91.80003,-333.05,4.348389,0
136,180,30,PinkNoise,DL_Based,1,181.15,-333.7,7.442749,0
137,180,0,Footstep,Generic,1,187.1,-357.55,5.882202,0
138,90,30,PinkNoise,Generic,3,88.20004,-335.35,8.710083,0
139,60,30,Footstep,3D_Based,2,56.14996,-334.9,10.75098,0
140,120,0,PinkNoise,Generic,4,114.85,-358.8,7.402954,0
141,60,30,Footstep,Generic,1,308.7,-336.35,11.36426,1
142,90,0,Footstep,Generic,2,90.99999,-1.849996,7.722168,0
143,180,30,PinkNoise,Generic,3,191.95,-358.8,7.32373,0
144,0,0,Footstep,3D_Based,3,346.55,-0.5499999,8.910034,0
145,30,0,PinkNoise,3D_Based,4,325.05,-335.75,8.189941,1
146,30,30,Footstep,DL_Based,1,336.05,-359.35,11.43103,1
147,180,0,Footstep,3D_Based,4,170.1,-359.6,7.90979,1
148,60,0,Footstep,DL_Based,4,52.94999,-334.4,16.33972,0
149,120,30,Footstep,DL_Based,1,233.8,-0.6000004,6.73584,1
150,120,30,Footstep,3D_Based,2,235.4,-1.000001,4.988647,1
151,120,30,PinkNoise,Generic,4,239.7,-336,8.30957,1
152,180,30,Footstep,DL_Based,1,188.7,-359.95,8.402954,1
153,90,30,PinkNoise,DL_Based,4,269.25,-335.75,6.682739,1
154,150,30,Footstep,DL_Based,1,154.4,-357.7,5.509277,0
155,0,0,PinkNoise,3D_Based,2,357.5,-334.7,8.295654,0
156,0,30,PinkNoise,Generic,4,351.65,-333.3,9.004395,0
157,180,30,Footstep,3D_Based,4,179.1,-358.65,8.42981,0
158,180,30,PinkNoise,Generic,1,187.5,-332.95,4.588745,0
159,0,0,PinkNoise,Generic,4,5.949992,-359.15,7.842773,0
160,120,0,PinkNoise,3D_Based,3,123.8,-359.85,9.377197,0
161,0,0,PinkNoise,DL_Based,4,353.7001,-333.25,12.91162,0
162,0,30,PinkNoise,DL_Based,4,359.7,-0.1999945,6.175781,0
163,30,30,PinkNoise,3D_Based,1,322.7,-333.6,10.99121,1
164,150,0,PinkNoise,3D_Based,4,155.8,-359.75,5.348389,0
165,150,0,Footstep,Generic,4,208.8,-0.2000044,7.895874,1
166,150,0,PinkNoise,3D_Based,1,147.05,-358.8,5.909546,0
167,120,0,Footstep,Generic,2,238.4,-0.2,8.256592,1
168,30,0,PinkNoise,DL_Based,3,333,-334.4,10.83081,1
169,120,30,Footstep,DL_Based,2,241.65,-0.5500027,21.35486,1
170,60,30,Footstep,Generic,4,65.14998,-358.1,12.63171,0
171,120,0,Footstep,DL_Based,3,124.15,4.537404E-06,9.9104,0
172,90,0,Footstep,3D_Based,3,90.85001,-359.8,23.5426,0
173,60,30,Footstep,3D_Based,1,298.35,-334.55,11.35107,1
174,90,30,Footstep,Generic,1,282.5,-334.15,8.123169,1
175,30,0,Footstep,DL_Based,2,336.95,-0.05000029,8.749756,1
176,30,30,Footstep,DL_Based,4,38.65004,-334.35,14.85925,0
177,150,30,Footstep,3D_Based,4,144.55,-336.65,11.45728,0
178,30,0,PinkNoise,Generic,3,333.25,-358.85,10.28369,1
179,0,0,Footstep,Generic,1,5.749965,-1.950001,8.791016,1
180,30,30,PinkNoise,Generic,1,337,-332.55,4.240845,1
181,30,30,Footstep,3D_Based,2,27.8,-0.1499793,10.28467,0
182,90,0,Footstep,DL_Based,2,267.6,-359.1,5.108765,1
183,30,0,Footstep,DL_Based,3,36.14998,-359.3499,8.963379,0
