No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time,FlagMinus
77,60,30,Footstep,DL_Based,2,61.15004,-327.7,10.42981,0
78,30,30,PinkNoise,DL_Based,1,339,-332.95,14.12659,1
79,0,30,PinkNoise,DL_Based,4,172.6501,-339.4,18.59387,1
80,0,30,Footstep,3D_Based,2,6.949989,-310.35,10.64417,1
81,0,0,Footstep,DL_Based,1,358.9501,-1.800004,19.4342,1
82,90,30,PinkNoise,3D_Based,4,96.39999,-296.8,8.750122,0
83,0,30,Footstep,DL_Based,1,4.349995,-337.2,22.48865,0
84,150,0,Footstep,Generic,4,1.549973,-352.45,29.95837,1
85,60,30,PinkNoise,3D_Based,2,309.4,-358.25,6.269043,1
86,180,30,Footstep,Generic,4,189.05,-330.25,10.34985,1
87,180,30,PinkNoise,3D_Based,1,169.1,-310.85,7.629028,1
88,150,0,Footstep,3D_Based,1,152.6,-359.35,13.75269,0
89,180,0,Footstep,Generic,3,22.04999,-297.6,24.90295,0
90,120,30,Footstep,DL_Based,2,126.8499,-335.1,14.73914,0
91,30,0,PinkNoise,Generic,2,331.85,-2.949968,17.3667,1
92,150,30,Footstep,DL_Based,1,207.1,-335.5,15.75281,1
93,180,0,PinkNoise,Generic,2,190.3499,-3.650001,18.82068,1
94,60,0,PinkNoise,Generic,4,63.5,-356.75,8.136475,0
95,90,0,Footstep,Generic,4,265.1,-306.45,24.86304,1
96,180,0,Footstep,3D_Based,4,183.5,-337.95,22.06189,1
97,150,30,Footstep,DL_Based,3,200.6,-334.95,12.03137,1
98,0,0,PinkNoise,DL_Based,2,6.700006,-1.900004,9.510254,1
99,150,0,PinkNoise,DL_Based,3,154.3501,-357,8.869385,0
100,60,0,Footstep,Generic,4,292.7499,-335,10.68494,1
101,30,30,Footstep,3D_Based,1,337.1,-307.05,15.21924,1
102,180,30,Footstep,3D_Based,3,187.4,-309.3,15.25928,1
103,30,30,PinkNoise,3D_Based,2,337.8,-333.7,10.27063,1
104,90,0,Footstep,3D_Based,2,87.30007,-337.3,19.83435,0
105,30,30,PinkNoise,3D_Based,1,338.1,-324.15,11.60449,1
106,150,30,Footstep,3D_Based,2,156.4,-308.3,23.4082,0
107,90,0,PinkNoise,Generic,1,275.5,-2.749971,17.72791,1
108,90,0,Footstep,DL_Based,2,266.05,-359.75,10.97717,1
109,150,30,Footstep,DL_Based,4,157.25,-336.1,9.910522,0
110,150,0,Footstep,Generic,3,41.65003,-337.6501,20.86182,1
111,150,0,Footstep,3D_Based,2,161.95,-333.95,10.43079,0
112,60,0,Footstep,DL_Based,1,56.35,-330.6,12.49817,0
113,60,0,PinkNoise,DL_Based,1,51.55,-4.599996,7.096069,0
114,30,30,PinkNoise,Generic,1,341.3999,-327.2999,15.69934,1
